epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9708,3.41907,4.94968,2.89549,0,0,0,0,2.69696,5.4888,2.57622,7.777e-05,7.777e-05,7.777e-05
2,8.81979,3.08897,4.96739,2.75801,0,0,0,0,2.54346,5.4428,2.38699,0.00016335,0.00016335,0.00016335
3,12.1732,3.08321,5.14788,2.7215,0,0,0,0,2.44787,5.51226,2.22194,0.000245411,0.000245411,0.000245411
4,15.5782,3.02532,5.00205,2.67935,0,0,0,0,2.39228,5.62765,2.22307,0.000323952,0.000323952,0.000323952
5,18.9836,2.96773,4.92144,2.54537,0.00019,0.05,0.00314,0.00094,2.124,5.6656,2.25152,0.000398973,0.000398973,0.000398973
6,22.4425,2.72618,5.08324,2.42852,0.00023,0.05,0.00036,4e-05,2.24954,5.85597,2.12431,0.000470475,0.000470475,0.000470475
7,25.9771,2.80179,4.8238,2.48178,0.00055,0.1,0.00195,0.00075,2.09571,5.78156,2.05499,0.000538457,0.000538457,0.000538457
8,29.3468,2.77238,4.78005,2.45633,0.0007,0.3,0.00226,0.001,1.99428,5.75767,1.79702,0.00060292,0.00060292,0.00060292
9,32.6302,3.09294,4.72059,2.54248,0.00148,0.5,0.00504,0.001,2.159,5.91861,1.89406,0.000663862,0.000663862,0.000663862
10,36.6317,2.86882,4.78042,2.46896,0.00148,0.5,0.00504,0.001,2.159,5.91861,1.89406,0.000721286,0.000721286,0.000721286
11,39.9295,2.76741,4.90856,2.37242,0.00198,0.6,0.00355,0.00073,2.46891,5.23213,2.04695,0.000775189,0.000775189,0.000775189
12,43.2365,2.80551,4.70511,2.4233,0.00198,0.6,0.00355,0.00073,2.46891,5.23213,2.04695,0.000825573,0.000825573,0.000825573
13,46.6767,2.72885,4.84876,2.34488,0.00068,0.25,0.0011,0.00011,2.13078,5.38514,2.06708,0.000847026,0.000847026,0.000847026
14,50.0053,2.89315,4.83974,2.46238,0.00068,0.25,0.0011,0.00011,2.13078,5.38514,2.06708,0.000825029,0.000825029,0.000825029
15,53.3978,2.75005,4.89227,2.33088,0.00033,0.2,0.00138,0.00014,2.43586,5.54232,2.54826,0.000803031,0.000803031,0.000803031
16,56.7958,2.9461,4.70812,2.53779,0.00033,0.2,0.00138,0.00014,2.43586,5.54232,2.54826,0.000781033,0.000781033,0.000781033
17,60.181,2.63498,4.62586,2.3397,0.0016,0.6,0.00363,0.00044,2.64343,5.28951,2.21439,0.000759035,0.000759035,0.000759035
18,63.4668,2.72356,4.78271,2.36112,0.0016,0.6,0.00363,0.00044,2.64343,5.28951,2.21439,0.000737037,0.000737037,0.000737037
